2017-2018,Inicial 1,A
2017-2018,Inicial 2,A
2017-2018,Prekinder,A
2017-2018,Kinder,A
2017-2018,Elementary A,1
2017-2018,Elementary B,1
2017-2018,Elementary C,1
2017-2018,Elementary D,1
2017-2018,Middle A,1
2017-2018,Middle B,1
2017-2018,Middle C,1
2017-2018,Middle D,1
2017-2018,Preparatory A,1
2017-2018,Preparatory B,1
2017-2018,Preparatory C,1
2017-2018,Preparatory D,1
2017-2018,Inicial 2,B
2017-2018,Prekinder,B
2017-2018,Kinder,B
2017-2018,Elementary A,2
2017-2018,Elementary B,2
2017-2018,Elementary C,2
2017-2018,Elementary D,2
2017-2018,Middle A,2
2017-2018,Middle B,2
2017-2018,Middle C,2
2017-2018,Middle D,2
2017-2018,Preparatory A,2
