[2017-05-08 10:55:28,735: INFO/MainProcess] sync with worker1@SCAEfileshare
[2017-05-08 10:55:49,487: INFO/MainProcess] Connected to amqp://guest:**@127.0.0.1:5672//
[2017-05-08 10:55:49,506: INFO/MainProcess] mingle: searching for neighbors
[2017-05-08 10:55:50,552: INFO/MainProcess] mingle: sync with 1 nodes
[2017-05-08 10:55:50,552: INFO/MainProcess] mingle: sync complete
[2017-05-08 10:55:50,585: WARNING/MainProcess] /home/adminmontebello/montebello/local/lib/python2.7/site-packages/celery/fixups/django.py:202: UserWarning: Using settings.DEBUG leads to a memory leak, never use this setting in production environments!
  warnings.warn('Using settings.DEBUG leads to a memory leak, never '
[2017-05-08 10:55:50,586: INFO/MainProcess] workersam@SCAEfileshare ready.
[2017-05-08 11:02:25,874: INFO/MainProcess] sync with worker1@SCAEfileshare
[2017-05-08 12:47:36,752: INFO/MainProcess] Connected to amqp://guest:**@127.0.0.1:5672//
[2017-05-08 12:47:36,772: INFO/MainProcess] mingle: searching for neighbors
[2017-05-08 12:47:37,818: INFO/MainProcess] mingle: sync with 1 nodes
[2017-05-08 12:47:37,818: INFO/MainProcess] mingle: sync complete
[2017-05-08 12:47:37,854: WARNING/MainProcess] /home/adminmontebello/montebello/local/lib/python2.7/site-packages/celery/fixups/django.py:202: UserWarning: Using settings.DEBUG leads to a memory leak, never use this setting in production environments!
  warnings.warn('Using settings.DEBUG leads to a memory leak, never '
[2017-05-08 12:47:37,854: INFO/MainProcess] workersam@SCAEfileshare ready.
[2017-05-08 12:47:49,641: INFO/MainProcess] Received task: tasks.send_mail[254b1d28-bf40-4c35-bc5c-ed247199df67]  
[2017-05-08 12:47:49,650: INFO/MainProcess] Received task: tasks.send_mail[e8d29469-ef58-45ec-95ac-454fa17548fe]  
[2017-05-08 12:47:50,702: INFO/MainProcess] Received task: tasks.send_mail[3649acd7-4042-412d-9b35-5a595b59f636]  
[2017-05-08 12:50:03,646: INFO/MainProcess] Received task: tasks.send_mail[28abc7cc-d2b2-46c5-b259-40a354d7c13a]  
[2017-05-08 12:50:38,935: INFO/MainProcess] Received task: tasks.send_mail[6a1a4006-6e7b-4ae1-88dd-d22e300d8eeb]  
[2017-05-08 14:07:56,748: INFO/MainProcess] sync with celery@SCAEfileshare
[2017-05-08 14:08:43,346: INFO/MainProcess] Received task: tasks.send_mail[c4daa51c-301d-4e12-b09b-a02fddd88244]  
[2017-05-08 14:08:43,465: INFO/MainProcess] Received task: tasks.send_mail[23f57bd9-4c66-402d-95dd-0eb485381cdd]  
[2017-05-08 14:09:36,899: INFO/MainProcess] sync with celery@SCAEfileshare
[2017-05-08 14:09:55,786: INFO/MainProcess] Received task: tasks.send_mail[ff5168f0-f501-4f11-a7dc-2b2d5852d0d3]  
[2017-05-08 14:09:55,792: INFO/MainProcess] Received task: tasks.send_mail[b91f28d3-652d-4dd1-9956-1771d4bef692]  
[2017-05-08 14:34:30,425: INFO/MainProcess] Received task: tasks.send_mail[47021c0c-5c85-4412-a78f-006ecf640b70]  
[2017-05-08 14:34:30,527: INFO/MainProcess] Received task: tasks.send_mail[cdc3e3f9-2309-4d8f-8e37-27b18983cb44]  
[2017-05-08 14:37:21,631: INFO/MainProcess] Received task: tasks.send_mail[848cde23-a14e-45d4-a6c8-1942259ce152]  
